,Game,BatPos,Batting,AB,R,H,RBI,BB,SO,PA,BA,OBP,SLG,OPS,Pit,Str,WPA,aLI,WPA+,WPA-,RE24,PO,A,Details,Name,Date,HomeGame
50,4,7,Robinson Cano 2B,5.0,0.0,1.0,0.0,0.0,0.0,5.0,0.208,0.208,0.333,0.542,12.0,10.0,-0.026,0.7,0.011,-0.037,-0.5,4.0,3.0,,Robinson_Cano,201904020,False
51,4,8,Michael Conforto RF,4.0,1.0,1.0,0.0,1.0,1.0,5.0,0.333,0.391,0.333,0.725,22.0,16.0,0.002,0.6,0.027,-0.025,0.1,2.0,0.0,,Michael_Conforto,201904020,False
52,4,9,Wilson Ramos C,5.0,2.0,2.0,1.0,0.0,0.0,5.0,0.444,0.474,0.5,0.974,14.0,9.0,0.074,0.86,0.101,-0.027,0.7,5.0,0.0,,Wilson_Ramos,201904020,False
53,4,10,Dominic Smith 1B,5.0,1.0,2.0,1.0,0.0,1.0,5.0,0.444,0.5,0.444,0.944,14.0,10.0,0.048,0.91,0.096,-0.048,0.6,4.0,1.0,,Dominic_Smith,201904020,False
54,4,11,Amed Rosario SS,4.0,0.0,1.0,2.0,1.0,2.0,5.0,0.238,0.304,0.286,0.59,21.0,10.0,0.079,0.64,0.119,-0.041,1.1,3.0,2.0,"2B,SB",Amed_Rosario,201904020,False
55,4,12,Juan Lagares CF,4.0,0.0,0.0,1.0,1.0,1.0,5.0,0.167,0.286,0.417,0.702,28.0,15.0,0.024,0.5,0.046,-0.022,0.6,2.0,0.0,,Juan_Lagares,201904020,False
56,4,13,Jason Vargas P,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,9.0,6.0,-0.05,0.58,0.0,-0.05,-1.4,0.0,2.0,,Jason_Vargas,201904020,False
57,4,15,Team Totals,38.0,6.0,9.0,6.0,5.0,7.0,44.0,0.237,0.341,0.263,0.604,167.0,102.0,0.231,0.69,0.557,-0.327,1.5,27.0,9.0,,Team_Totals,201904020,False
58,5,0,Brandon Nimmo LF,4.0,1.0,0.0,0.0,1.0,4.0,5.0,0.1,0.28,0.1,0.38,34.0,19.0,-0.014,0.47,0.027,-0.042,-0.5,0.0,0.0,,Brandon_Nimmo,201904030,False
59,5,4,Pete Alonso 1B,4.0,1.0,2.0,1.0,0.0,1.0,4.0,0.409,0.458,0.727,1.186,15.0,12.0,0.073,0.55,0.097,-0.024,1.0,1.0,0.0,2B,Pete_Alonso,201904030,False
60,5,5,   Juan Lagares CF,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.154,0.267,0.385,0.651,2.0,2.0,0.0,0.01,0.0,0.0,-0.2,0.0,0.0,,Juan_Lagares,201904030,False
61,5,6,Robinson Cano 2B,5.0,0.0,1.0,1.0,0.0,0.0,5.0,0.207,0.207,0.345,0.552,12.0,8.0,0.012,0.34,0.054,-0.041,0.3,1.0,0.0,2B,Robinson_Cano,201904030,False
62,5,8,Michael Conforto RF,4.0,0.0,2.0,0.0,1.0,1.0,5.0,0.36,0.429,0.4,0.829,16.0,8.0,0.008,0.4,0.04,-0.032,0.5,3.0,0.0,"2B,IW",Michael_Conforto,201904030,False
63,5,9,J.D. Davis 3B,5.0,1.0,0.0,0.0,0.0,2.0,5.0,0.158,0.238,0.263,0.501,24.0,15.0,-0.057,0.49,0.005,-0.062,-1.0,0.0,1.0,,J.D._Davis,201904030,False
64,5,10,Keon Broxton CF-LF,4.0,1.0,1.0,0.0,0.0,1.0,4.0,0.5,0.571,0.5,1.071,15.0,10.0,-0.031,0.52,0.013,-0.044,-0.9,3.0,0.0,,Keon_Broxton,201904030,False
65,5,11,Amed Rosario SS,3.0,0.0,1.0,1.0,1.0,0.0,4.0,0.25,0.333,0.375,0.708,15.0,9.0,0.108,0.54,0.126,-0.018,0.7,2.0,2.0,"3B,IW",Amed_Rosario,201904030,False
66,5,12,Tomas Nido C,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,12.0,9.0,-0.065,0.81,0.0,-0.065,-1.0,14.0,0.0,,Tomas_Nido,201904030,False
67,5,13,   Dominic Smith PH-1B,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.5,0.545,0.5,1.045,2.0,2.0,0.019,0.47,0.019,0.0,1.0,2.0,0.0,,Dominic_Smith,201904030,False
68,5,14,Jacob deGrom P,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.2,0.2,0.8,1.0,9.0,7.0,0.086,0.49,0.102,-0.015,0.7,0.0,0.0,HR,Jacob_deGrom,201904030,False
69,5,15,   Wilson Ramos PH-C,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.474,0.5,0.526,1.026,3.0,3.0,0.009,0.22,0.009,0.0,0.9,1.0,0.0,,Wilson_Ramos,201904030,False
70,5,16,Team Totals,38.0,6.0,10.0,6.0,3.0,10.0,41.0,0.263,0.317,0.474,0.791,159.0,104.0,0.148,0.47,0.492,-0.343,1.5,27.0,3.0,,Team_Totals,201904030,False
71,6,0,Brandon Nimmo LF-CF,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.087,0.276,0.087,0.363,20.0,10.0,-0.034,1.14,0.052,-0.086,-0.4,2.0,0.0,,Brandon_Nimmo,201904040,True
72,6,1,Pete Alonso 1B,4.0,0.0,0.0,0.0,0.0,2.0,4.0,0.346,0.393,0.615,1.008,16.0,11.0,-0.075,1.18,0.024,-0.099,-0.3,8.0,1.0,,Pete_Alonso,201904040,True
73,6,2,Robinson Cano 2B,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.188,0.212,0.313,0.525,17.0,10.0,-0.089,0.94,0.017,-0.106,-0.7,2.0,0.0,GDP,Robinson_Cano,201904040,True
74,6,3,Michael Conforto RF,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.31,0.375,0.345,0.72,23.0,17.0,-0.105,1.0,0.0,-0.105,-0.9,0.0,0.0,,Michael_Conforto,201904040,True
75,6,4,Wilson Ramos C,4.0,0.0,2.0,0.0,0.0,1.0,4.0,0.478,0.5,0.522,1.022,15.0,9.0,0.023,0.85,0.066,-0.043,0.3,12.0,0.0,,Wilson_Ramos,201904040,True
76,6,5,Jeff McNeil 3B-LF,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.368,0.429,0.579,1.008,14.0,11.0,-0.053,0.95,0.022,-0.075,-0.6,1.0,0.0,,Jeff_McNeil,201904040,True
77,6,6,Amed Rosario SS,4.0,0.0,1.0,0.0,0.0,1.0,4.0,0.25,0.323,0.357,0.68,12.0,8.0,0.058,1.11,0.09,-0.032,0.1,1.0,3.0,,Amed_Rosario,201904040,True
78,6,7,Juan Lagares CF,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.133,0.235,0.333,0.569,10.0,6.0,-0.087,1.89,0.0,-0.087,-0.6,1.0,0.0,,Juan_Lagares,201904040,True
79,6,9,   J.D. Davis PH-3B,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.15,0.227,0.25,0.477,4.0,3.0,-0.074,2.88,0.0,-0.074,-0.4,0.0,0.0,,J.D._Davis,201904040,True
80,6,10,Noah Syndergaard P,2.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.2,0.0,0.2,10.0,5.0,-0.078,1.53,0.0,-0.078,-0.5,0.0,2.0,,Noah_Syndergaard,201904040,True
81,6,13,   Luis Guillorme PH,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,5.0,3.0,-0.042,1.68,0.0,-0.042,-0.2,,,,Luis_Guillorme,201904040,True
82,6,16,Team Totals,32.0,0.0,4.0,0.0,2.0,14.0,34.0,0.125,0.176,0.125,0.301,146.0,93.0,-0.556,1.18,0.271,-0.827,-4.4,27.0,7.0,,Team_Totals,201904040,True
83,7,0,Brandon Nimmo LF,3.0,0.0,0.0,0.0,0.0,3.0,3.0,0.077,0.25,0.077,0.327,12.0,9.0,-0.066,0.9,0.0,-0.066,-0.7,2.0,0.0,,Brandon_Nimmo,201904060,True
84,7,3,   Luis Guillorme SS,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,2.0,-0.01,0.38,0.0,-0.01,-0.1,0.0,0.0,,Luis_Guillorme,201904060,True
85,7,4,Pete Alonso 1B,4.0,1.0,2.0,1.0,0.0,2.0,4.0,0.367,0.406,0.733,1.14,22.0,13.0,0.118,0.99,0.166,-0.048,0.7,8.0,0.0,"HR,2B",Pete_Alonso,201904060,True
86,7,6,Robinson Cano 2B,4.0,1.0,2.0,1.0,0.0,0.0,4.0,0.222,0.243,0.417,0.66,10.0,7.0,0.248,1.38,0.319,-0.071,0.6,2.0,3.0,HR,Robinson_Cano,201904060,True
87,7,7,J.D. Davis 3B,3.0,2.0,3.0,2.0,1.0,0.0,4.0,0.261,0.346,0.609,0.955,16.0,8.0,0.397,1.16,0.397,0.0,2.6,0.0,1.0,2·HR,J.D._Davis,201904060,True
88,7,9,Wilson Ramos C,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.407,0.429,0.444,0.873,6.0,5.0,-0.221,1.44,0.0,-0.221,-1.6,10.0,3.0,GDP,Wilson_Ramos,201904060,True
89,7,10,Michael Conforto RF,4.0,2.0,2.0,1.0,0.0,1.0,4.0,0.333,0.389,0.485,0.874,12.0,11.0,0.136,0.74,0.174,-0.038,0.8,1.0,0.0,"HR,2B",Michael_Conforto,201904060,True
90,7,11,Amed Rosario SS,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.226,0.294,0.323,0.617,10.0,6.0,-0.033,0.44,0.0,-0.033,-0.4,1.0,2.0,,Amed_Rosario,201904060,True
91,7,14,Keon Broxton CF-LF,3.0,0.0,1.0,1.0,1.0,1.0,4.0,0.444,0.545,0.444,0.99,18.0,9.0,0.233,1.32,0.311,-0.078,0.5,0.0,0.0,CS,Keon_Broxton,201904060,True
92,7,15,Steven Matz P,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,-0.025,0.99,0.0,-0.025,-0.2,0.0,2.0,,Steven_Matz,201904060,True
93,7,16,   Juan Lagares PH-CF,2.0,0.0,1.0,0.0,0.0,1.0,2.0,0.176,0.263,0.353,0.616,11.0,5.0,0.02,0.76,0.034,-0.014,0.2,2.0,0.0,SB,Juan_Lagares,201904060,True
94,7,17,Team Totals,32.0,6.0,11.0,6.0,2.0,10.0,35.0,0.344,0.4,0.875,1.275,130.0,80.0,0.776,1.08,1.41,-0.634,2.1,27.0,11.0,,Team_Totals,201904060,True
95,8,0,Jeff McNeil LF-3B,3.0,2.0,2.0,1.0,0.0,0.0,5.0,0.409,0.519,0.591,1.109,25.0,15.0,0.059,0.32,0.062,-0.003,1.6,1.0,0.0,2·HBP,Jeff_McNeil,201904070,True
96,8,1,Pete Alonso 1B,4.0,2.0,2.0,3.0,1.0,1.0,5.0,0.382,0.432,0.824,1.256,21.0,11.0,-0.076,0.56,0.02,-0.096,2.0,8.0,1.0,"HR,2B,GDP",Pete_Alonso,201904070,True
97,8,2,Robinson Cano 2B,3.0,0.0,0.0,0.0,0.0,1.0,3.0,0.205,0.225,0.385,0.61,6.0,6.0,-0.031,0.38,0.0,-0.031,-0.6,2.0,1.0,,Robinson_Cano,201904070,True
98,8,4,   Travis d'Arnaud PH-C,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,10.0,7.0,-0.009,0.27,0.0,-0.009,-0.2,4.0,0.0,,Travis_d'Arnaud,201904070,True
99,8,5,Michael Conforto RF,4.0,2.0,2.0,3.0,0.0,2.0,5.0,0.351,0.415,0.595,1.009,20.0,13.0,0.042,0.33,0.062,-0.02,2.6,2.0,0.0,"HR,2B,HBP",Michael_Conforto,201904070,True
100,8,6,Wilson Ramos C,3.0,0.0,1.0,1.0,0.0,0.0,3.0,0.4,0.419,0.433,0.853,12.0,10.0,-0.017,0.81,0.033,-0.05,-0.6,5.0,0.0,,Wilson_Ramos,201904070,True
101,8,10,   Juan Lagares PH,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.167,0.25,0.333,0.583,6.0,4.0,-0.012,0.48,0.0,-0.012,-0.2,,,,Juan_Lagares,201904070,True
102,8,11,J.D. Davis 3B,2.0,0.0,1.0,0.0,0.0,0.0,2.0,0.28,0.357,0.6,0.957,10.0,7.0,0.045,0.77,0.052,-0.007,0.5,0.0,1.0,,J.D._Davis,201904070,True
103,8,13,   Luis Guillorme 2B,2.0,1.0,1.0,0.0,1.0,0.0,3.0,0.25,0.4,0.25,0.65,11.0,6.0,0.015,0.17,0.019,-0.004,0.7,1.0,1.0,,Luis_Guillorme,201904070,True
104,8,14,Amed Rosario SS,4.0,1.0,1.0,0.0,0.0,3.0,4.0,0.229,0.289,0.314,0.604,17.0,10.0,-0.075,0.74,0.001,-0.076,-0.9,0.0,3.0,,Amed_Rosario,201904070,True
105,8,15,Keon Broxton CF,4.0,0.0,0.0,0.0,0.0,3.0,4.0,0.308,0.4,0.308,0.708,19.0,12.0,-0.057,0.59,0.0,-0.057,-1.9,2.0,0.0,,Keon_Broxton,201904070,True
106,8,16,Zack Wheeler P,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,-0.019,0.74,0.0,-0.019,-0.2,0.0,1.0,,Zack_Wheeler,201904070,True
107,8,17,   Brandon Nimmo LF,3.0,1.0,1.0,1.0,0.0,0.0,3.0,0.103,0.257,0.138,0.395,11.0,7.0,-0.007,0.11,0.002,-0.008,0.9,1.0,0.0,2B,Brandon_Nimmo,201904070,True
108,8,18,Team Totals,36.0,9.0,11.0,9.0,2.0,11.0,42.0,0.306,0.405,0.556,0.96,173.0,110.0,-0.131,0.43,0.262,-0.392,4.6,27.0,9.0,,Team_Totals,201904070,True
109,9,0,Brandon Nimmo CF,4.0,2.0,2.0,1.0,1.0,2.0,5.0,0.152,0.3,0.303,0.603,23.0,13.0,0.099,0.66,0.138,-0.039,1.5,5.0,0.0,"HR,2B",Brandon_Nimmo,201904090,True
110,9,1,Pete Alonso 1B,5.0,2.0,2.0,3.0,0.0,2.0,5.0,0.385,0.429,0.923,1.352,24.0,16.0,-0.041,0.7,0.045,-0.086,1.8,7.0,0.0,2·HR,Pete_Alonso,201904090,True
