Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,Orig. Scheduled,HomeGame,umpire-HP,umpire-1B,umpire-2B,umpire-3B,temperature,wind,weather,start_time,stadium,turf,Index,year
1,201803290,boxscore,NYM,STL,W,9,4,,1-0,1, Tied,Syndergaard,Martinez,,3:01,D,"44,189",+,,True,Fieldin Culbreth,Brian O'Nora,CB Bucknor,Chris Conroy,50° F,9mph from Right to Left,Normal,1:16 p.m. Local,Citi Field,on grass,0,2018
2,201803310,boxscore,NYM,STL,W,6,2,,2-0,1, Tied,deGrom,Wacha,Familia,3:22,D,"36,098",++,,True,Brian O'Nora,CB Bucknor,Chris Conroy,Fieldin Culbreth,53° F,3mph out to Centerfield,Sunny,1:10 p.m. Local,Citi Field,on grass,1,2018
3,201804010,boxscore,NYM,STL,L,1,5,,2-1,2, 1.0,Weaver,Matz,,3:15,D,"22,486",-,,True,CB Bucknor,Chris Conroy,Fieldin Culbreth,Brian O'Nora,59° F,12mph out to Rightfield,Normal,1:10 p.m. Local,Citi Field,on grass,2,2018
4,201804030,boxscore,NYM,PHI,W,2,0,,3-1,2, 0.5,Blevins,Lively,Familia,2:51,N,"21,397",+,,True,Bill Miller,Angel Hernandez,Todd Tichenor,Alan Porter,40° F,12mph in from Centerfield,Drizzle,7:11 p.m. Local,Citi Field,on grass,3,2018
5,201804040,boxscore,NYM,PHI,W,4,2,,4-1,1,up 0.5,Gsellman,Hutchison,Familia,3:05,D,"21,328",++,,True,Angel Hernandez,Todd Tichenor,Alan Porter,Bill Miller,54° F,20mph out to Rightfield,Normal,2:47 p.m. Local,Citi Field,on grass,4,2018
12,201804130,boxscore,NYM,MIL,W,6,5,,11-1,1,up 3.5,Matz,Davies,Familia,3:10,N,"34,921",+++++++++,,True,David Rackley,Larry Vanover,Hunter Wendelstedt,Chris Guccione,68° F,10mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,5,2018
13,201804140,boxscore,NYM,MIL,L,1,5,,11-2,1,up 3.0,Anderson,Harvey,Hader,2:46,N,"40,965",-,,True,Larry Vanover,Hunter Wendelstedt,Chris Guccione,David Rackley,55° F,20mph in from Rightfield,Normal,7:11 p.m. Local,Citi Field,on grass,6,2018
14,201804150,boxscore,NYM,MIL,W-wo,3,2,,12-2,1,up 3.0,Familia,Albers,,3:28,D,"26,035",+,,True,Hunter Wendelstedt,Chris Guccione,David Rackley,Larry Vanover,42° F,19mph in from Rightfield,Normal,1:11 p.m. Local,Citi Field,on grass,7,2018
15,201804160,boxscore,NYM,WSN,L,6,8,,12-3,1,up 3.0,Cole,Ramos,Madson,3:25,N,"22,829",-,,True,Lance Barksdale,Will Little,Tom Woodring,Ted Barrett,55° F,17mph out to Centerfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,8,2018
16,201804170,boxscore,NYM,WSN,L,2,5,,12-4,1,up 2.0,Gonzalez,Wheeler,Doolittle,3:11,N,"22,724",--,,True,Will Little,Tom Woodring,Ted Barrett,Lance Barksdale,43° F,16mph out to Rightfield,Normal,7:11 p.m. Local,Citi Field,on grass,9,2018
17,201804180,boxscore,NYM,WSN,W,11,5,,13-4,1,up 3.0,Ramos,Madson,,2:51,N,"23,117",+,,True,Tom Woodring,Ted Barrett,Lance Barksdale,Will Little,53° F,11mph out to Rightfield,Sunny,7:10 p.m. Local,Citi Field,on grass,10,2018
