Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,Orig. Scheduled,HomeGame,umpire-HP,umpire-1B,umpire-2B,umpire-3B,temperature,wind,weather,start_time,stadium,turf,Index,year
1,201704030,boxscore,NYM,ATL,W,6,0,,1-0,1, Tied,Robles,Krol,,3:13,D,"44,384",+,,True,Jeff Kellogg,James Hoye,Will Little,Clint Fagan,62° F,13mph out to Leftfield,Cloudy,1:13 p.m. Local,Citi Field,on grass,0,2017
2,201704050,boxscore,NYM,ATL,L,1,3,12,1-1,2, 1.0,Johnson,Montero,,3:51,N,"28,113",-,,True,James Hoye,Will Little,Clint Fagan,Jeff Kellogg,55° F,10mph in from Rightfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,1,2017
3,201704060,boxscore,NYM,ATL,W,6,2,,2-1,1, Tied,Harvey,Garcia,,2:28,N,"23,100",+,,True,Will Little,Clint Fagan,Jeff Kellogg,James Hoye,44° F,17mph from Left to Right,Rain,7:19 p.m. Local,Citi Field,on grass,2,2017
4,201704070,boxscore,NYM,MIA,L,2,7,,2-2,2, 1.0,Chen,Wheeler,,3:06,N,"27,891",-,,True,Pat Hoberg,Gerry Davis,Tony Randazzo,Rob Drake,47° F,22mph out to Rightfield,Normal,7:11 p.m. Local,Citi Field,on grass,3,2017
5,201704080,boxscore,NYM,MIA,L,1,8,,2-3,3, 1.0,Conley,Gsellman,,3:25,N,"33,936",--,,True,Gerry Davis,Tony Randazzo,Rob Drake,Pat Hoberg,55° F,15mph from Left to Right,Sunny,7:10 p.m. Local,Citi Field,on grass,4,2017
6,201704090,boxscore,NYM,MIA,W,5,2,,3-3,1, Tied,Syndergaard,Volquez,Reed,2:44,N,"27,420",+,,True,Tony Randazzo,Rob Drake,Pat Hoberg,Gerry Davis,52° F,12mph out to Leftfield,Cloudy,8:10 p.m. Local,Citi Field,on grass,5,2017
14,201704180,boxscore,NYM,PHI,L,2,6,10,7-7,3, 1.5,Garcia,Montero,,3:58,N,"23,536",----,,True,Jim Wolf,Chad Whitson,Dan Iassogna,Sam Holbrook,54° F,15mph in from Leftfield,Sunny,7:10 p.m. Local,Citi Field,on grass,6,2017
15,201704190,boxscore,NYM,PHI,W,5,4,,8-7,2, 1.5,Robles,Ramos,Reed,2:37,N,"22,243",+,,True,Chad Whitson,Dan Iassogna,Sam Holbrook,Jim Wolf,49° F,12mph from Right to Left,Normal,7:09 p.m. Local,Citi Field,on grass,7,2017
16,201704200,boxscore,NYM,PHI,L,4,6,,8-8,3, 2.5,Nola,Syndergaard,Neris,3:14,N,"24,656",-,,True,Dan Iassogna,Sam Holbrook,Jim Wolf,Chad Whitson,62° F,10mph from Right to Left,Normal,7:11 p.m. Local,Citi Field,on grass,8,2017
17,201704210,boxscore,NYM,WSN,L,3,4,11,8-9,3, 3.5,Romero,Smoker,Kelley,3:43,N,"34,773",--,,True,Dana DeMuth,Carlos Torres,Greg Gibson,Chris Guccione,50° F,14mph in from Centerfield,Normal,7:12 p.m. Local,Citi Field,on grass,9,2017
