Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,Orig. Scheduled,HomeGame,umpire-HP,umpire-1B,umpire-2B,umpire-3B,temperature,wind,weather,start_time,stadium,turf,Index,year
18,201704220,boxscore,NYM,WSN,L,1,3,,8-10,4, 4.5,Gonzalez,deGrom,Glover,3:01,D,"42,145",---,,True,Carlos Torres,Greg Gibson,Chris Guccione,Dana DeMuth,55° F,5mph in from Rightfield,Drizzle,4:05 p.m. Local,Citi Field,on grass,10,2017
19,201704230,boxscore,NYM,WSN,L,3,6,,8-11,4, 5.5,Scherzer,Wheeler,Glover,2:43,N,"27,044",----,,True,Greg Gibson,Chris Guccione,Dana DeMuth,Carlos Torres,53° F,11mph out to Leftfield,Cloudy,8:08 p.m. Local,Citi Field,on grass,11,2017
20,201704260,boxscore,NYM,ATL,L,2,8,,8-12,4, 6.5,Teheran,Gsellman,,3:19,N,"22,819",-----,,True,Cory Blaser,Jeff Nelson,Laz Diaz,Doug Eddings,59° F,3mph in from Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,12,2017
21,201704270,boxscore,NYM,ATL,L,5,7,,8-13,5, 7.5,Dickey,Harvey,,2:56,D,"23,243",------,,True,Jeff Nelson,Laz Diaz,Doug Eddings,Cory Blaser,67° F,9mph out to Leftfield,Normal,1:10 p.m. Local,Citi Field,on grass,13,2017
28,201705050,boxscore,NYM,MIA,W,8,7,,13-15,2, 6.5,Blevins,Ziegler,Familia,3:14,N,"25,618",++,,True,Bruce Dreckman,Chad Whitson,Mike Everitt,Bill Welke,59° F,5mph in from Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,14,2017
29,201705060,boxscore,NYM,MIA,W,11,3,,14-15,2, 6.5,Gsellman,Despaigne,,2:48,N,"33,339",+++,,True,Chad Whitson,Mike Everitt,Bill Welke,Bruce Dreckman,62° F,12mph out to Centerfield,Normal,7:10 p.m. Local,Citi Field,on grass,15,2017
30,201705070,boxscore,NYM,MIA,L,0,7,,14-16,2, 6.5,Urena,Wilk,,2:40,D,"39,197",-,,True,Mike Everitt,Bill Welke,Bruce Dreckman,Chad Whitson,54° F,12mph out to Centerfield,Normal,1:10 p.m. Local,Citi Field,on grass,16,2017
31,201705080,boxscore,NYM,SFG,W-wo,4,3,,15-16,2, 5.5,Familia,Osich,,3:22,N,"28,453",+,,True,Stu Scheurwater,Jim Reynolds,Brian Knight,Lance Barrett,58° F,7mph from Left to Right,Cloudy,7:10 p.m. Local,Citi Field,on grass,17,2017
32,201705090,boxscore,NYM,SFG,W,6,1,,16-16,2, 4.5,Wheeler,Samardzija,,2:38,N,"29,030",++,,True,Jim Reynolds,Brian Knight,Lance Barrett,Stu Scheurwater,58° F,10mph in from Centerfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,18,2017
33,201705100,boxscore,NYM,SFG,L,5,6,,16-17,2, 5.5,Morris,Familia,Law,3:33,D,"31,066",-,,True,Brian Knight,Lance Barrett,Stu Scheurwater,Jim Reynolds,60° F,7mph from Left to Right,Cloudy,1:10 p.m. Local,Citi Field,on grass,19,2017
40,201705190,boxscore,NYM,LAA,W,3,0,,17-23,3, 7.5,deGrom,Nolasco,Reed,2:53,N,"36,542",+,,True,Phil Cuzzi,Gary Cederstrom,Gabe Morales,Ben May,88° F,6mph out to Rightfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,20,2017
41,201705200,boxscore,NYM,LAA,W,7,5,,18-23,3, 6.5,Wheeler,Meyer,Reed,3:37,N,"37,264",++,,True,Gary Cederstrom,Gabe Morales,Ben May,Phil Cuzzi,62° F,10mph out to Leftfield,Normal,7:16 p.m. Local,Citi Field,on grass,21,2017
42,201705210,boxscore,NYM,LAA,L,5,12,,18-24,3, 7.5,Chavez,Milone,,3:17,D,"39,501",-,,True,Gabe Morales,Ben May,Phil Cuzzi,Gary Cederstrom,67° F,12mph out to Leftfield,Sunny,1:11 p.m. Local,Citi Field,on grass,22,2017
43,201705230,boxscore,NYM,SDP,W,9,3,,19-24,3, 7.5,Harvey,Chacin,,2:56,N,"24,337",+,,True,Bruce Dreckman,Mike Everitt,Jordan Baker,Ryan Blakney,68° F,4mph out to Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,23,2017
44,201705240,boxscore,NYM,SDP,L,5,6,,19-25,3, 8.5,Buchter,Smoker,Hand,3:28,N,"23,933",-,,True,Mike Everitt,Jordan Baker,Ryan Blakney,Bruce Dreckman,66° F,9mph in from Rightfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,24,2017
45,201705250,boxscore,NYM,SDP,L,3,4,,19-26,3, 8.5,Lamet,Montero,Hand,3:16,N,"24,131",--,,True,Jordan Baker,Ryan Blakney,Bruce Dreckman,Mike Everitt,57° F,12mph from Right to Left,Drizzle,7:11 p.m. Local,Citi Field,on grass,25,2017
49,201705290,boxscore,NYM,MIL,W,4,2,,22-27,2, 8.5,Gsellman,Garza,Reed,2:50,D,"34,830",++,,True,CB Bucknor,Manny Gonzalez,Fieldin Culbreth,Mark Carlson,58° F,10mph in from Centerfield,Normal,4:10 p.m. Local,Citi Field,on grass,26,2017
50,201705300,boxscore,NYM,MIL,W-wo,5,4,12,23-27,2, 8.5,Smoker,Peralta,,4:24,N,"24,457",+++,,True,Manny Gonzalez,Fieldin Culbreth,Roberto Ortiz,CB Bucknor,59° F,10mph from Right to Left,Normal,7:10 p.m. Local,Citi Field,on grass,27,2017
51,201705310,boxscore,NYM,MIL,L,1,7,,23-28,2, 9.5,Guerra,deGrom,,3:17,N,"26,517",-,,True,Fieldin Culbreth,Roberto Ortiz,CB Bucknor,Manny Gonzalez,73° F,9mph out to Leftfield,Sunny,7:10 p.m. Local,Citi Field,on grass,28,2017
52,201706010,boxscore,NYM,MIL,L,1,2,,23-29,2, 10.0,Anderson,Wheeler,Knebel,3:02,D,"35,123",--,,True,Roberto Ortiz,CB Bucknor,Manny Gonzalez,Fieldin Culbreth,78° F,9mph out to Rightfield,Cloudy,1:10 p.m. Local,Citi Field,on grass,29,2017
53,201706020,boxscore,NYM,PIT,L,7,12,,23-30,2, 11.0,Cole,Sewald,,3:18,N,"33,047",---,,True,Lance Barrett,Stu Scheurwater,Jim Reynolds,Greg Gibson,74° F,17mph from Left to Right,Sunny,7:10 p.m. Local,Citi Field,on grass,30,2017
54,201706030,boxscore,NYM,PIT,W,4,2,,24-30,2, 10.0,Gsellman,Glasnow,Reed,3:06,N,"34,035",+,,True,Stu Scheurwater,Jim Reynolds,Greg Gibson,Lance Barrett,73° F,13mph from Left to Right,Cloudy,7:15 p.m. Local,Citi Field,on grass,31,2017
55,201706040,boxscore,NYM,PIT,L,1,11,,24-31,3, 11.0,Williams,Pill,,2:54,D,"35,323",-,,True,Jim Reynolds,Greg Gibson,Lance Barrett,Stu Scheurwater,68° F,9mph out to Leftfield,Normal,1:10 p.m. Local,Citi Field,on grass,32,2017
62,201706120,boxscore,NYM,CHC,W,6,1,,29-33,2, 8.5,deGrom,Lackey,,2:23,N,"33,268",++++,,True,Mike Winters,Mark Wegner,Ryan Additon,Mike Muchlinski,93° F,13mph out to Rightfield,Sunny,7:10 p.m. Local,Citi Field,on grass,33,2017
63,201706130,boxscore,NYM,CHC,L,3,14,,29-34,2, 9.5,Lester,Wheeler,,3:07,N,"32,651",-,,True,Mark Wegner,Ryan Additon,Mike Muchlinski,Mike Winters,94° F,14mph out to Rightfield,Normal,7:10 p.m. Local,Citi Field,on grass,34,2017
64,201706140,boxscore,NYM,CHC,W,9,4,,30-34,2, 8.5,Blevins,Edwards,,3:02,N,"34,566",+,,True,Ryan Additon,Mike Muchlinski,Mike Winters,Mark Wegner,76° F,11mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,35,2017
65,201706150,boxscore,NYM,WSN,L,3,8,,30-35,2, 9.5,Gonzalez,Gsellman,,2:52,N,"30,319",-,,True,Brian Gorman,Tripp Gibson,Nic Lentz,Ron Kulpa,71° F,12mph out to Leftfield,Sunny,7:10 p.m. Local,Citi Field,on grass,36,2017
66,201706160,boxscore,NYM,WSN,L,2,7,,30-36,3, 10.5,Scherzer,Matz,,2:56,N,"37,919",--,,True,Tripp Gibson,Nic Lentz,Ron Kulpa,Brian Gorman,65° F,10mph in from Centerfield,Normal,7:09 p.m. Local,Citi Field,on grass,37,2017
67,201706170,boxscore,NYM,WSN,L,4,7,,30-37,3, 11.5,Strasburg,Lugo,Romero,3:32,D,"38,059",---,,True,Nic Lentz,Ron Kulpa,Brian Gorman,Tripp Gibson,71° F,8mph from Right to Left,Normal,4:11 p.m. Local,Citi Field,on grass,38,2017
68,201706180,boxscore,NYM,WSN,W,5,1,,31-37,2, 10.5,deGrom,Ross,,2:50,D,"40,459",+,,True,Ron Kulpa,Brian Gorman,Tripp Gibson,Nic Lentz,82° F,16mph out to Leftfield,Cloudy,1:10 p.m. Local,Citi Field,on grass,39,2017
79,201706300,boxscore,NYM,PHI,W,2,1,,37-42,3, 9.5,deGrom,Lively,Reed,2:38,N,"37,134",+++,,True,Brian O'Nora,Scott Barry,Ramon De Jesus,Paul Emmel,84° F,14mph out to Leftfield,Normal,7:11 p.m. Local,Citi Field,on grass,40,2017
80,201707010,boxscore,NYM,PHI,W,7,6,,38-42,3, 8.5,Salas,Neshek,Reed,3:21,D,"33,080",++++,,True,Scott Barry,Ramon De Jesus,Quinn Wolcott,Brian O'Nora,77° F,12mph out to Leftfield,Cloudy,4:11 p.m. Local,Citi Field,on grass,41,2017
81,201707020,boxscore,NYM,PHI,L,1,7,,38-43,3, 9.5,Pivetta,Montero,,2:53,D,"30,343",-,,True,Ramon De Jesus,Quinn Wolcott,Paul Emmel,Scott Barry,87° F,9mph out to Rightfield,Sunny,1:12 p.m. Local,Citi Field,on grass,42,2017
87,201707140,boxscore,NYM,COL,W,14,2,,40-47,4, 12.0,deGrom,Gray,,3:21,N,"27,582",+,,True,Mike Everitt,Chris Segal,Jordan Baker,Bruce Dreckman,68° F,10mph in from Rightfield,Normal,7:11 p.m. Local,Citi Field,on grass,43,2017
88,201707150,boxscore,NYM,COL,W,9,3,,41-47,3, 12.0,Lugo,Chatwood,,3:00,N,"34,783",++,,True,Jordan Baker,Chris Segal,Bruce Dreckman,Mike Everitt,82° F,9mph from Left to Right,Cloudy,7:10 p.m. Local,Citi Field,on grass,44,2017
89,201707160,boxscore,NYM,COL,L,4,13,,41-48,3, 13.0,Hoffman,Matz,,3:26,D,"28,745",-,,True,Bruce Dreckman,Chris Segal,Mike Everitt,Jordan Baker,84° F,5mph out to Rightfield,Cloudy,1:10 p.m. Local,Citi Field,on grass,45,2017
90,201707170,boxscore,NYM,STL,L,3,6,,41-49,4, 14.0,Wainwright,Wheeler,Cecil,3:20,N,"29,977",--,,True,Alfonso Marquez,Chad Fairchild,David Rackley,Joe West,80° F,13mph out to Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,46,2017
91,201707180,boxscore,NYM,STL,L,0,5,,41-50,4, 15.0,Wacha,Montero,,2:52,N,"29,964",---,,True,Chad Fairchild,David Rackley,Joe West,Alfonso Marquez,83° F,13mph out to Leftfield,Cloudy,7:12 p.m. Local,Citi Field,on grass,47,2017
92,201707190,boxscore,NYM,STL,W,7,3,,42-50,3, 14.0,deGrom,Leake,Reed,2:59,N,"32,228",+,,True,David Rackley,Joe West,Alfonso Marquez,Chad Fairchild,91° F,9mph out to Centerfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,48,2017
93,201707200,boxscore,NYM,STL,W-wo,3,2,,43-50,3, 13.5,Reed,Rosenthal,,2:47,D,"39,640",++,,True,Joe West,Alfonso Marquez,Chad Fairchild,David Rackley,92° F,6mph out to Rightfield,Cloudy,12:11 p.m. Local,Citi Field,on grass,49,2017
94,201707210,boxscore,NYM,OAK,W,7,5,,44-50,3, 12.5,Robles,Blackburn,Blevins,3:14,N,"26,969",+++,,True,Dan Iassogna,Brian Gorman,Stu Scheurwater,Tripp Gibson,91° F,11mph out to Rightfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,50,2017
95,201707220,boxscore,NYM,OAK,W-wo,6,5,,45-50,3, 12.5,Robles,Castro,,3:07,N,"39,629",++++,,True,Brian Gorman,Stu Scheurwater,Tripp Gibson,Dan Iassogna,84° F,6mph out to Leftfield,Drizzle,7:10 p.m. Local,Citi Field,on grass,51,2017
96,201707230,boxscore,NYM,OAK,L,2,3,,45-51,3, 13.5,Gossett,Montero,Casilla,2:41,D,"29,037",-,,True,Stu Scheurwater,Tripp Gibson,Dan Iassogna,Brian Gorman,76° F,8mph in from Rightfield,Normal,2:11 p.m. Local,Citi Field,on grass,52,2017
107,201708040,boxscore,NYM,LAD,L,0,6,,49-58,4, 15.0,Darvish,deGrom,,3:07,N,"41,187",--,,True,Will Little,Jeff Kellogg,Tim Timmons,James Hoye,79° F,14mph out to Leftfield,Sunny,7:10 p.m. Local,Citi Field,on grass,53,2017
108,201708050,boxscore,NYM,LAD,L,4,7,,49-59,4, 15.0,Morrow,Sewald,,3:18,D,"40,060",---,,True,Jeff Kellogg,Tim Timmons,James Hoye,Will Little,80° F,12mph out to Rightfield,Cloudy,4:06 p.m. Local,Citi Field,on grass,54,2017
109,201708060,boxscore,NYM,LAD,L,0,8,,49-60,4, 16.0,Ryu,Matz,,2:59,N,"27,077",----,,True,Tim Timmons,James Hoye,Will Little,Jeff Kellogg,74° F,9mph out to Rightfield,Normal,8:08 p.m. Local,Citi Field,on grass,55,2017
110,201708080,boxscore,NYM,TEX,W,5,4,,50-60,4, 15.5,Flexen,Griffin,Ramos,2:51,N,"37,326",+,,True,Phil Cuzzi,Mark Ripperger,Greg Gibson,Vic Carapazza,79° F,4mph from Left to Right,Cloudy,7:12 p.m. Local,Citi Field,on grass,56,2017
111,201708090,boxscore,NYM,TEX,L,1,5,,50-61,4, 16.5,Perez,Montero,,3:07,D,"34,222",-,,True,Mark Ripperger,Greg Gibson,Vic Carapazza,Phil Cuzzi,80° F,8mph out to Rightfield,Sunny,12:12 p.m. Local,Citi Field,on grass,57,2017
118,201708160,boxscore,NYM,NYY,L,3,5,,53-65,3, 18.0,Kahnle,Sewald,Robertson,3:13,N,"42,260",---,,True,Chad Whitson,Bill Miller,Todd Tichenor,Adam Hamari,84° F,6mph out to Rightfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,58,2017
119,201708170,boxscore,NYM,NYY,L,5,7,,53-66,4, 19.0,Severino,Matz,Betances,2:55,N,"42,549",----,,True,Bill Miller,Todd Tichenor,Adam Hamari,Chad Whitson,78° F,9mph from Right to Left,Cloudy,7:11 p.m. Local,Citi Field,on grass,59,2017
120,201708180,boxscore,NYM,MIA,L,1,3,,53-67,4, 20.0,Nicolino,Flexen,Ziegler,2:53,N,"25,958",-----,,True,Larry Vanover,Alfonso Marquez,Ryan Blakney,Chad Fairchild,75° F,9mph out to Centerfield,Normal,9:03 p.m. Local,Citi Field,on grass,60,2017
121,201708190,boxscore,NYM,MIA,W,8,1,,54-67,3, 19.0,Montero,Worley,,2:48,N,"30,171",+,,True,Alfonso Marquez,Ryan Blakney,Chad Fairchild,Larry Vanover,85° F,9mph out to Centerfield,Cloudy,7:12 p.m. Local,Citi Field,on grass,61,2017
122,201708200,boxscore,NYM,MIA,L,4,6,,54-68,4, 20.0,Conley,deGrom,Ziegler,2:53,D,"26,464",-,,True,Ryan Blakney,Chad Fairchild,Larry Vanover,Alfonso Marquez,80° F,12mph from Left to Right,Sunny,1:11 p.m. Local,Citi Field,on grass,62,2017
123,201708210,boxscore,NYM,ARI,L,2,3,10,54-69,4, 20.5,Sherfy,Goeddel,Rodney,3:46,N,"24,265",--,,True,Mike Estabrook,Jerry Layne,Ryan Additon,Marvin Hudson,83° F,12mph out to Leftfield,Cloudy,7:12 p.m. Local,Citi Field,on grass,63,2017
124,201708220,boxscore,NYM,ARI,L,4,7,,54-70,4, 21.5,Corbin,Milone,Rodney,3:03,N,"25,220",---,,True,Jerry Layne,Ryan Additon,Marvin Hudson,Mike Estabrook,85° F,16mph out to Leftfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,64,2017
125,201708230,boxscore,NYM,ARI,W,4,2,,55-70,4, 20.5,Flexen,Godley,Ramos,3:15,N,"31,277",+,,True,Ryan Additon,Marvin Hudson,Mike Estabrook,Jerry Layne,80° F,12mph from Left to Right,Sunny,7:11 p.m. Local,Citi Field,on grass,65,2017
126,201708240,boxscore,NYM,ARI,L,2,3,,55-71,4, 21.5,Ray,Montero,Rodney,3:45,D,"25,284",-,,True,Marvin Hudson,Mike Estabrook,Jerry Layne,Ryan Additon,77° F,8mph in from Leftfield,Sunny,12:11 p.m. Local,Citi Field,on grass,66,2017
137,201709040,boxscore,NYM,PHI,W,11,7,,59-78,4, 24.0,Montero,Leiter,,3:18,D,"28,808",+,,True,D.J. Reyburn,Greg Gibson,Ramon De Jesus,Sam Holbrook,78° F,13mph out to Centerfield,Sunny,1:12 p.m. Local,Citi Field,on grass,67,2017
138,201709050,boxscore,NYM,PHI,L,1,9,,59-79,4, 25.0,Lively,deGrom,,3:04,N,"22,230",-,,True,Greg Gibson,Ramon De Jesus,Sam Holbrook,D.J. Reyburn,78° F,11mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,68,2017
139,201709060,boxscore,NYM,PHI,W,6,3,6,60-79,4, 25.0,Gsellman,Pivetta,,1:53,N,"19,617",+,,True,Ramon De Jesus,Sam Holbrook,D.J. Reyburn,Greg Gibson,63° F,13mph in from Leftfield,Overcast,7:10 p.m. Local,Citi Field,on grass,69,2017
140,201709070,boxscore,NYM,CIN,W,7,2,,61-79,4, 25.0,Harvey,Mahle,,2:38,N,"21,274",++,,True,Jerry Layne,Dan Bellino,Marvin Hudson,Shane Livensparger,71° F,12mph out to Rightfield,Sunny,7:10 p.m. Local,Citi Field,on grass,70,2017
141,201709080,boxscore,NYM,CIN,W,5,1,,62-79,4, 25.0,Lugo,Garrett,Ramos,2:42,N,"25,864",+++,,True,Dan Bellino,Marvin Hudson,Shane Livensparger,Jerry Layne,69° F,11mph out to Rightfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,71,2017
142,201709090,boxscore,NYM,CIN,W,6,1,,63-79,4, 24.0,Montero,Bailey,,2:56,N,"30,661",++++,,True,Marvin Hudson,Shane Livensparger,Jerry Layne,Dan Bellino,65° F,14mph in from Leftfield,Cloudy,7:12 p.m. Local,Citi Field,on grass,72,2017
143,201709100,boxscore,NYM,CIN,L,5,10,,63-80,4, 25.0,Stephens,Familia,Iglesias,3:38,D,"27,590",-,,True,Shane Livensparger,Jerry Layne,Dan Bellino,Marvin Hudson,71° F,11mph in from Leftfield,Cloudy,1:11 p.m. Local,Citi Field,on grass,73,2017
153,201709220,boxscore,NYM,WSN,W,7,6,,66-87,4, 26.0,Bradford,Blanton,Familia,3:02,N,"28,095",+,,True,Mike Winters,Marty Foster,Chris Segal,Mike Muchlinski,78° F,13mph in from Leftfield,Sunny,7:11 p.m. Local,Citi Field,on grass,74,2017
154,201709230,boxscore,NYM,WSN,L,3,4,10,66-88,4, 27.0,Solis,Rhame,Doolittle,3:38,N,"34,455",-,,True,Marty Foster,Chris Segal,Mike Muchlinski,Mike Winters,83° F,7mph in from Leftfield,Sunny,7:10 p.m. Local,Citi Field,on grass,75,2017
155,201709240,boxscore,NYM,WSN,L,2,3,,66-89,4, 28.0,Scherzer,deGrom,Kintzler,3:01,D,"29,057",--,,True,Chris Segal,Mike Muchlinski,Mike Winters,Marty Foster,87° F,6mph in from Centerfield,Sunny,1:10 p.m. Local,Citi Field,on grass,76,2017
156,201709251,boxscore,NYM,ATL,L,2,9,,66-90,4, 28.5,Sims,Flexen,,3:03,D,,---,2017-04-25 (Rain),True,Andy Fletcher,Shane Livensparger,Joe West,Ben May,86° F,9mph in from Rightfield,Sunny,4:10 p.m. Local,"3:03Day Game, on grass","see Second game.
Logos via Sports Logos.net
            / About logos",77,2017
157,201709252,boxscore,NYM,ATL,W,3,2,,67-90,4, 28.5,Lugo,Fried,Familia,2:49,N,"21,698",+,,True,Hunter Wendelstedt,Joe West,Ben May,Shane Livensparger,76° F,10mph out to Leftfield,Cloudy,7:46 p.m. Local,Citi Field,on grass,78,2017
158,201709260,boxscore,NYM,ATL,W-wo,4,3,,68-90,4, 27.5,Familia,Minter,,2:57,N,"21,938",++,,True,Joe West,Ben May,Andy Fletcher,Hunter Wendelstedt,76° F,7mph in from Rightfield,Cloudy,7:12 p.m. Local,Citi Field,on grass,79,2017
159,201709270,boxscore,NYM,ATL,W,7,1,,69-90,4, 26.5,Gsellman,Newcomb,,3:02,N,"28,617",+++,,True,Ben May,Andy Fletcher,Hunter Wendelstedt,Shane Livensparger,80° F,11mph in from Rightfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,80,2017
