Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,Orig. Scheduled,HomeGame,umpire-HP,umpire-1B,umpire-2B,umpire-3B,temperature,wind,weather,start_time,stadium,turf,Index,year
22,201604300,boxscore,NYM,SFG,W,6,5,,15-7,2, 0.5,deGrom,Cain,Familia,3:09,D,"44,466",++++++++,,True,Paul Nauert,Ron Kulpa,Chris Conroy,Gabe Morales,62° F,6mph out to Leftfield,Sunny,4:05 p.m. Local,Citi Field,on grass,10,2016
23,201605010,boxscore,NYM,SFG,L,1,6,,15-8,2, 1.5,Bumgarner,Syndergaard,,3:19,D,"39,077",-,,True,Ron Kulpa,Chris Conroy,Gabe Morales,Paul Nauert,50° F,14mph from Right to Left,Drizzle,1:12 p.m. Local,Citi Field,on grass,11,2016
24,201605020,boxscore,NYM,ATL,W,4,1,,16-8,2, 1.5,Colon,Foltynewicz,,2:31,N,"23,847",+,,True,Gary Cederstrom,Eric Cooper,Jim Wolf,Adrian Johnson,62° F,7mph out to Rightfield,Sunny,7:11 p.m. Local,Citi Field,on grass,12,2016
25,201605030,boxscore,NYM,ATL,L,0,3,,16-9,2, 1.5,Wisler,Harvey,Vizcaino,2:38,N,"27,356",-,,True,Eric Cooper,Jim Wolf,Adrian Johnson,Gary Cederstrom,53° F,6mph in from Centerfield,Drizzle,7:11 p.m. Local,Citi Field,on grass,13,2016
26,201605040,boxscore,NYM,ATL,W,8,0,,17-9,2, 1.5,Matz,Chacin,,2:28,D,"31,783",+,,True,Jim Wolf,Adrian Johnson,Gary Cederstrom,Eric Cooper,49° F,16mph in from Rightfield,Normal,1:10 p.m. Local,Citi Field,on grass,14,2016
38,201605170,boxscore,NYM,WSN,W,2,0,,22-16,2, 0.5,Syndergaard,Scherzer,Familia,2:32,N,"36,701",+,,True,Jim Joyce,Marvin Hudson,James Hoye,Chad Fairchild,60° F,9mph out to Centerfield,Normal,7:10 p.m. Local,Citi Field,on grass,15,2016
39,201605180,boxscore,NYM,WSN,L,1,7,,22-17,3, 1.5,Gonzalez,Colon,,3:42,N,"30,100",-,,True,Marvin Hudson,James Hoye,Chad Fairchild,Jim Joyce,59° F,10mph out to Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,16,2016
40,201605190,boxscore,NYM,WSN,L,1,9,,22-18,3, 2.5,Strasburg,Harvey,,3:12,N,"39,494",--,,True,James Hoye,Chad Fairchild,Jim Joyce,Marvin Hudson,60° F,14mph out to Leftfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,17,2016
41,201605200,boxscore,NYM,MIL,W,3,2,,23-18,3, 2.5,Matz,Peralta,Familia,2:31,N,"36,239",+,,True,Jim Wolf,Adrian Johnson,Gary Cederstrom,Lance Barksdale,69° F,12mph out to Leftfield,Sunny,7:11 p.m. Local,Citi Field,on grass,18,2016
42,201605210,boxscore,NYM,MIL,W-wo,5,4,,24-18,2, 1.5,Familia,Blazek,,3:09,D,"39,688",++,,True,Adrian Johnson,Gary Cederstrom,Lance Barksdale,Jim Wolf,63° F,12mph in from Rightfield,Normal,4:11 p.m. Local,Citi Field,on grass,19,2016
43,201605220,boxscore,NYM,MIL,W,3,1,,25-18,2, 1.5,Syndergaard,Anderson,Familia,2:59,D,"40,173",+++,,True,Gary Cederstrom,Lance Barksdale,Jim Wolf,Adrian Johnson,66° F,7mph in from Rightfield,Cloudy,1:12 p.m. Local,Citi Field,on grass,20,2016
47,201605270,boxscore,NYM,LAD,W-wo,6,5,,28-19,1, Tied,Familia,Baez,,3:03,N,"43,462",++,,True,Dan Bellino,Adam Hamari,Tom Hallion,Phil Cuzzi,77° F,9mph out to Leftfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,21,2016
48,201605280,boxscore,NYM,LAD,L,1,9,,28-20,1, Tied,Maeda,Verrett,,3:12,N,"42,227",-,,True,Adam Hamari,Tom Hallion,Phil Cuzzi,Dan Bellino,84° F,10mph out to Leftfield,Cloudy,7:16 p.m. Local,Citi Field,on grass,22,2016
49,201605290,boxscore,NYM,LAD,L,2,4,,28-21,2, 1.0,Liberatore,Familia,Jansen,3:05,N,"42,287",--,,True,Tom Hallion,Phil Cuzzi,Dan Bellino,Adam Hamari,74° F,17mph out to Leftfield,Cloudy,8:08 p.m. Local,Citi Field,on grass,23,2016
50,201605300,boxscore,NYM,CHW,W,1,0,,29-21,2, 1.0,Harvey,Quintana,Familia,2:34,D,"38,339",+,,True,Carlos Torres,Sam Holbrook,Gerry Davis,Rob Drake,79° F,1mph in unknown direction,Normal,1:10 p.m. Local,Citi Field,on grass,24,2016
51,201605310,boxscore,NYM,CHW,L,4,6,,29-22,2, 2.0,Jennings,Robles,Robertson,3:02,N,"32,781",-,,True,Sam Holbrook,Gerry Davis,Rob Drake,Carlos Torres,79° F,13mph out to Leftfield,Sunny,7:10 p.m. Local,Citi Field,on grass,25,2016
52,201606010,boxscore,NYM,CHW,L,1,2,13,29-23,2, 3.0,Albers,Verrett,,4:41,D,"34,160",--,,True,Gerry Davis,Rob Drake,Carlos Torres,Sam Holbrook,79° F,13mph in from Centerfield,Cloudy,1:10 p.m. Local,Citi Field,on grass,26,2016
63,201606140,boxscore,NYM,PIT,L,0,4,,34-29,2, 5.0,Taillon,deGrom,,2:28,N,"35,124",---,,True,Hunter Wendelstedt,Ben May,Tripp Gibson,Jerry Layne,80° F,11mph from Left to Right,Sunny,7:12 p.m. Local,Citi Field,on grass,27,2016
64,201606150,boxscore,NYM,PIT,W,11,2,,35-29,2, 5.0,Syndergaard,Locke,,3:06,N,"32,117",+,,True,Ben May,Tripp Gibson,Jerry Layne,Hunter Wendelstedt,78° F,13mph out to Leftfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,28,2016
65,201606160,boxscore,NYM,PIT,W,6,4,,36-29,2, 5.0,Colon,Nicasio,Familia,2:55,N,"33,052",++,,True,Tripp Gibson,Jerry Layne,Hunter Wendelstedt,Ben May,74° F,3mph in from Rightfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,29,2016
66,201606170,boxscore,NYM,ATL,L,1,5,,36-30,2, 6.0,Gant,Harvey,,3:13,N,"40,148",-,,True,Mike Winters,Marty Foster,Mark Wegner,Mike Muchlinski,74° F,9mph out to Leftfield,Sunny,7:11 p.m. Local,Citi Field,on grass,30,2016
67,201606180,boxscore,NYM,ATL,L,3,4,,36-31,2, 6.0,Alvarez,Reed,Johnson,3:02,N,"32,134",--,,True,Marty Foster,Mark Wegner,Mike Muchlinski,Mike Winters,75° F,15mph out to Leftfield,Sunny,8:16 p.m. Local,Citi Field,on grass,31,2016
68,201606190,boxscore,NYM,ATL,L,0,6,,36-32,3, 6.0,Teheran,deGrom,,2:51,D,"41,576",---,,True,Mark Wegner,Mike Muchlinski,Mike Winters,Marty Foster,84° F,11mph in from Rightfield,Sunny,1:11 p.m. Local,Citi Field,on grass,32,2016
69,201606210,boxscore,NYM,KCR,W,2,1,,37-32,2, 4.5,Robles,Kennedy,Familia,2:56,N,"40,122",+,,True,Bill Welke,John Hirschbeck,Vic Carapazza,D.J. Reyburn,81° F,17mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,33,2016
70,201606220,boxscore,NYM,KCR,W,4,3,,38-32,2, 3.5,Syndergaard,Soria,Familia,3:06,D,"35,185",++,,True,John Hirschbeck,Vic Carapazza,D.J. Reyburn,Bill Welke,86° F,21mph from Left to Right,Sunny,1:12 p.m. Local,Citi Field,on grass,34,2016
78,201606300,boxscore,NYM,CHC,W,4,3,,41-37,2, 6.0,Goeddel,Peralta,Familia,3:22,N,"40,122",+,,True,Cory Blaser,Jeff Nelson,Laz Diaz,Nic Lentz,81° F,18mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,35,2016
79,201607010,boxscore,NYM,CHC,W,10,2,,42-37,2, 6.0,deGrom,Hammel,,2:56,N,"34,294",++,,True,Jeff Nelson,Laz Diaz,Nic Lentz,Cory Blaser,72° F,6mph out to Leftfield,Cloudy,7:21 p.m. Local,Citi Field,on grass,36,2016
80,201607020,boxscore,NYM,CHC,W,4,3,,43-37,2, 5.0,Colon,Arrieta,Familia,3:06,N,"41,151",+++,,True,Laz Diaz,Nic Lentz,Cory Blaser,Jeff Nelson,76° F,10mph from Left to Right,Sunny,7:16 p.m. Local,Citi Field,on grass,37,2016
81,201607030,boxscore,NYM,CHC,W,14,3,,44-37,2, 5.0,Syndergaard,Lester,,3:17,D,"36,137",++++,,True,Nic Lentz,Cory Blaser,Jeff Nelson,Laz Diaz,80° F,3mph out to Leftfield,Cloudy,1:12 p.m. Local,Citi Field,on grass,38,2016
82,201607040,boxscore,NYM,MIA,W,8,6,,45-37,2, 4.0,Blevins,Rodney,Familia,3:38,D,"30,424",+++++,,True,Tom Hallion,Phil Cuzzi,Tom Woodring,Dan Bellino,78° F,14mph out to Centerfield,Sunny,4:12 p.m. Local,Citi Field,on grass,39,2016
83,201607050,boxscore,NYM,MIA,L,2,5,,45-38,2, 4.0,Chen,Matz,Ramos,2:33,N,"29,477",-,,True,Phil Cuzzi,Tom Woodring,Dan Bellino,Tom Hallion,88° F,8mph from Left to Right,Sunny,7:11 p.m. Local,Citi Field,on grass,40,2016
84,201607060,boxscore,NYM,MIA,W,4,2,,46-38,2, 4.0,deGrom,Nicolino,Familia,2:40,D,"26,191",+,,True,Tom Woodring,Dan Bellino,Tom Hallion,Phil Cuzzi,92° F,6mph in from Rightfield,Cloudy,1:10 p.m. Local,Citi Field,on grass,41,2016
85,201607070,boxscore,NYM,WSN,W,9,7,,47-38,2, 3.0,Robles,Perez,Familia,3:39,N,"37,569",++,,True,Chad Fairchild,Toby Basner,Jim Joyce,Marvin Hudson,81° F,10mph in from Rightfield,Normal,7:10 p.m. Local,Citi Field,on grass,42,2016
86,201607080,boxscore,NYM,WSN,L,1,3,,47-39,2, 4.0,Strasburg,Syndergaard,Papelbon,3:17,N,"35,030",-,,True,Toby Basner,Jim Joyce,Marvin Hudson,Chad Fairchild,74° F,12mph from Right to Left,Normal,7:47 p.m. Local,Citi Field,on grass,43,2016
87,201607090,boxscore,NYM,WSN,L,1,6,,47-40,2, 5.0,Scherzer,Verrett,,3:13,N,"36,953",--,,True,Jim Joyce,Marvin Hudson,Chad Fairchild,Toby Basner,69° F,8mph out to Leftfield,Normal,7:17 p.m. Local,Citi Field,on grass,44,2016
88,201607100,boxscore,NYM,WSN,L,2,3,,47-41,2, 6.0,Gonzalez,Matz,Papelbon,2:41,D,"35,778",---,,True,Marvin Hudson,Chad Fairchild,Toby Basner,Jim Joyce,78° F,7mph out to Rightfield,Cloudy,1:11 p.m. Local,Citi Field,on grass,45,2016
98,201607261,boxscore,NYM,STL,L,2,3,,52-46,3, 4.5,Martinez,Syndergaard,Oh,3:18,D,,-,2016-07-25 (Rain),True,Stu Scheurwater,Ben May,Mark Wegner,Mike Muchlinski,90° F,11mph out to Rightfield,Cloudy,4:11 p.m. Local,"3:18Day Game, on grass","see Second game.
Logos via Sports Logos.net
            / About logos",46,2016
99,201607262,boxscore,NYM,STL,W,3,1,,53-46,3, 4.5,Colon,Garcia,Familia,2:33,N,"37,116",+,,True,Mike Winters,Mark Wegner,Mike Muchlinski,Ben May,87° F,13mph in from Leftfield,Cloudy,8:04 p.m. Local,Citi Field,on grass,47,2016
100,201607270,boxscore,NYM,STL,L,4,5,,53-47,3, 5.5,Broxton,Familia,Oh,3:07,N,"37,851",-,,True,Mark Wegner,Mike Muchlinski,Stu Scheurwater,Mike Winters,88° F,15mph out to Leftfield,Cloudy,7:13 p.m. Local,Citi Field,on grass,48,2016
101,201607280,boxscore,NYM,COL,L,1,2,,53-48,3, 6.5,Lyles,Familia,Estevez,3:13,D,"38,292",--,,True,John Tumpane,Chris Guccione,Alan Porter,Jeff Kellogg,93° F,7mph in from Leftfield,Cloudy,1:11 p.m. Local,Citi Field,on grass,49,2016
102,201607290,boxscore,NYM,COL,L,1,6,,53-49,3, 7.5,Chatwood,Matz,,3:07,N,"40,035",---,,True,Chris Guccione,Alan Porter,Jeff Kellogg,John Tumpane,82° F,8mph in from Rightfield,Sunny,7:11 p.m. Local,Citi Field,on grass,50,2016
103,201607300,boxscore,NYM,COL,L,2,7,,53-50,3, 7.5,De La Rosa,Colon,,3:09,N,"42,207",----,,True,Alan Porter,Jeff Kellogg,John Tumpane,Chris Guccione,76° F,7mph out to Leftfield,Normal,7:48 p.m. Local,Citi Field,on grass,51,2016
104,201607310,boxscore,NYM,COL,W,6,4,,54-50,3, 6.5,Blevins,Logan,Familia,3:06,D,"36,279",+,,True,Jeff Kellogg,John Tumpane,Chris Guccione,Alan Porter,78° F,12mph from Right to Left,Normal,1:48 p.m. Local,Citi Field,on grass,52,2016
105,201608010,boxscore,NYM,NYY,L,5,6,10,54-51,3, 7.5,Warren,Lugo,Betances,3:47,N,"42,125",-,,True,Mark Carlson,Brian Gorman,Nic Lentz,Quinn Wolcott,76° F,7mph in from Rightfield,Normal,7:11 p.m. Local,Citi Field,on grass,53,2016
106,201608020,boxscore,NYM,NYY,W,7,1,,55-51,3, 7.5,deGrom,Tanaka,,2:39,N,"42,819",+,,True,Brian Gorman,Nic Lentz,Quinn Wolcott,Mark Carlson,75° F,8mph from Right to Left,Cloudy,7:11 p.m. Local,Citi Field,on grass,54,2016
112,201608090,boxscore,NYM,ARI,L,3,5,,57-55,3, 9.0,Greinke,Robles,Barrett,3:04,N,"31,884",-,,True,Vic Carapazza,John Hirschbeck,Bill Welke,D.J. Reyburn,83° F,11mph out to Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,55,2016
113,201608100,boxscore,NYM,ARI,L,2,3,12,57-56,3, 10.0,Delgado,Blevins,,4:03,N,"31,277",--,,True,John Hirschbeck,Bill Welke,D.J. Reyburn,Vic Carapazza,84° F,5mph out to Leftfield,Normal,7:30 p.m. Local,Citi Field,on grass,56,2016
114,201608110,boxscore,NYM,ARI,L,0,9,,57-57,3, 10.5,Shipley,Syndergaard,,2:52,D,"39,271",---,,True,Bill Welke,D.J. Reyburn,Vic Carapazza,John Hirschbeck,93° F,7mph out to Rightfield,Cloudy,12:12 p.m. Local,Citi Field,on grass,57,2016
115,201608120,boxscore,NYM,SDP,L,6,8,,57-58,3, 10.5,Clemens,Verrett,Maurer,3:07,N,"24,422",----,,True,Paul Emmel,Mike Estabrook,Greg Gibson,Carlos Torres,90° F,10mph out to Rightfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,58,2016
116,201608130,boxscore,NYM,SDP,W-wo,3,2,11,58-58,3, 10.5,Ynoa,Maurer,,3:22,N,"36,854",+,,True,Mike Estabrook,Greg Gibson,Carlos Torres,Paul Emmel,91° F,13mph out to Leftfield,Sunny,7:10 p.m. Local,Citi Field,on grass,59,2016
117,201608140,boxscore,NYM,SDP,W,5,1,,59-58,3, 10.5,Matz,Richard,,2:47,D,"26,612",++,,True,Greg Gibson,Carlos Torres,Paul Emmel,Mike Estabrook,96° F,11mph out to Rightfield,Cloudy,1:10 p.m. Local,Citi Field,on grass,60,2016
128,201608260,boxscore,NYM,PHI,W,9,4,,65-63,3, 10.0,Colon,Morgan,,2:56,N,"31,111",++,,True,Angel Hernandez,Will Little,Ted Barrett,Lance Barksdale,88° F,15mph in from Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,61,2016
129,201608270,boxscore,NYM,PHI,W,12,1,,66-63,3, 9.0,Syndergaard,Hellickson,,3:07,N,"35,832",+++,,True,Will Little,Ted Barrett,Lance Barksdale,Angel Hernandez,84° F,12mph from Right to Left,Sunny,7:11 p.m. Local,Citi Field,on grass,62,2016
130,201608280,boxscore,NYM,PHI,L,1,5,,66-64,3, 9.0,Hernandez,Gsellman,,3:08,D,"32,033",-,,True,Ted Barrett,Lance Barksdale,Angel Hernandez,Will Little,86° F,6mph out to Leftfield,Sunny,1:11 p.m. Local,Citi Field,on grass,63,2016
131,201608290,boxscore,NYM,MIA,W-wo,2,1,10,67-64,2, 9.0,Smoker,Wittgren,,3:30,N,"32,188",+,,True,Tim Timmons,Mike Everitt,Paul Emmel,Jordan Baker,87° F,7mph in from Leftfield,Cloudy,7:12 p.m. Local,Citi Field,on grass,64,2016
132,201608300,boxscore,NYM,MIA,W,7,4,,68-64,2, 9.0,Lugo,Koehler,Familia,3:04,N,"32,634",++,,True,Mike Everitt,Paul Emmel,Jordan Baker,Tim Timmons,77° F,9mph out to Leftfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,65,2016
133,201608310,boxscore,NYM,MIA,W,5,2,,69-64,2, 9.0,Reed,Ramos,Familia,2:46,N,"33,471",+++,,True,Paul Emmel,Jordan Baker,Tim Timmons,Mike Everitt,81° F,14mph out to Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,66,2016
134,201609010,boxscore,NYM,MIA,L,4,6,,69-65,2, 9.5,Urena,deGrom,,3:25,N,"29,330",-,,True,Jordan Baker,Tim Timmons,Mike Everitt,Paul Emmel,76° F,5mph in from Centerfield,Normal,7:10 p.m. Local,Citi Field,on grass,67,2016
135,201609020,boxscore,NYM,WSN,L,1,4,,69-66,2, 10.5,Cole,Syndergaard,Melancon,3:07,N,"32,040",--,,True,Gary Cederstrom,Eric Cooper,Jim Wolf,Adrian Johnson,79° F,8mph in from Leftfield,Cloudy,7:12 p.m. Local,Citi Field,on grass,68,2016
136,201609030,boxscore,NYM,WSN,W,3,1,,70-66,2, 9.5,Gsellman,Roark,Familia,3:13,N,"36,118",+,,True,Eric Cooper,Jim Wolf,Adrian Johnson,Gary Cederstrom,72° F,9mph in from Rightfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,69,2016
137,201609040,boxscore,NYM,WSN,W,5,1,,71-66,2, 8.5,Lugo,Lopez,,2:59,N,"30,257",++,,True,Jim Wolf,Adrian Johnson,Gary Cederstrom,Eric Cooper,76° F,10mph in from Rightfield,Cloudy,8:08 p.m. Local,Citi Field,on grass,70,2016
147,201609160,boxscore,NYM,MIN,W,3,0,,78-69,2, 10.0,Colon,Berrios,Familia,2:41,N,"33,338",+,,True,Quinn Wolcott,Brian Gorman,Ramon De Jesus,Mike DiMuro,68° F,11mph out to Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,71,2016
148,201609170,boxscore,NYM,MIN,W-wo,3,2,12,79-69,2, 9.0,Edgin,O'Rourke,,4:15,N,"36,941",++,,True,Brian Gorman,Ramon De Jesus,Mike DiMuro,Quinn Wolcott,73° F,13mph out to Leftfield,Cloudy,7:11 p.m. Local,Citi Field,on grass,72,2016
149,201609180,boxscore,NYM,MIN,W,3,2,,80-69,2, 8.0,Goeddel,Gibson,Blevins,2:58,D,"28,926",+++,,True,Ramon De Jesus,Mike DiMuro,Quinn Wolcott,Brian Gorman,82° F,12mph out to Centerfield,Normal,1:12 p.m. Local,Citi Field,on grass,73,2016
150,201609190,boxscore,NYM,ATL,L,3,7,,80-70,2, 8.0,Blair,Syndergaard,,3:11,N,"29,665",-,,True,Bill Miller,Tony Randazzo,Chris Segal,Brian Knight,73° F,3mph out to Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,74,2016
151,201609200,boxscore,NYM,ATL,L,4,5,,80-71,2, 8.0,Teheran,Gsellman,Johnson,3:28,N,"30,761",--,,True,Tony Randazzo,Chris Segal,Brian Knight,Bill Miller,77° F,9mph out to Leftfield,Normal,7:11 p.m. Local,Citi Field,on grass,75,2016
152,201609210,boxscore,NYM,ATL,L,3,4,,80-72,2, 9.0,Krol,Familia,Johnson,3:17,N,"32,187",---,,True,Chris Segal,Brian Knight,Bill Miller,Tony Randazzo,80° F,7mph in from Centerfield,Normal,7:10 p.m. Local,Citi Field,on grass,76,2016
153,201609220,boxscore,NYM,PHI,W-wo,9,8,11,81-72,2, 8.5,Henderson,Ramos,,4:23,N,"35,759",+,,True,Andy Fletcher,Kerwin Danley,Pat Hoberg,Joe West,79° F,8mph from Right to Left,Sunny,7:11 p.m. Local,Citi Field,on grassView Game Recap from the SABR Game Project,77,2016
154,201609230,boxscore,NYM,PHI,W,10,5,,82-72,2, 7.5,Smoker,Hellickson,Robles,3:40,N,"37,873",++,,True,Kerwin Danley,Pat Hoberg,Joe West,Andy Fletcher,80° F,11mph out to Centerfield,Sunny,7:11 p.m. Local,Citi Field,on grass,78,2016
155,201609240,boxscore,NYM,PHI,L,8,10,,82-73,2, 8.5,Asher,Gilmartin,Mariot,3:47,N,"39,995",-,,True,Pat Hoberg,Joe West,Andy Fletcher,Kerwin Danley,67° F,9mph in from Leftfield,Sunny,7:11 p.m. Local,Citi Field,on grass,79,2016
156,201609250,boxscore,NYM,PHI,W,17,0,,83-73,2, 8.5,Gsellman,Thompson,,3:32,D,"35,093",+,,True,Joe West,Andy Fletcher,Kerwin Danley,Pat Hoberg,66° F,14mph in from Leftfield,Sunny,1:12 p.m. Local,Citi Field,on grassView Game Recap from the SABR Game Project,80,2016
