Gm#,Date,,HomeTeam,AwayTeam,W/L,R,RA,Inn,HomeWL,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,HomeStreak,Orig. Scheduled,HomeGame,umpire-HP,umpire-1B,umpire-2B,umpire-3B,temperature,wind,weather,start_time,stadium,turf,Index,year
3,201604080,boxscore,NYM,PHI,W,7,2,,2-1,1, Tied,deGrom,Eickhoff,,3:09,D,"44,099",++,,True,Paul Nauert,Chris Conroy,Jerry Meals,Ron Kulpa,47° F,21mph out to Rightfield,Normal,1:12 p.m. Local,Citi Field,on grass,0,2016
4,201604090,boxscore,NYM,PHI,L,0,1,,2-2,2, 0.5,Velasquez,Colon,Gomez,2:44,N,"37,083",-,,True,Chris Conroy,Jerry Meals,Ron Kulpa,Paul Nauert,41° F,8mph in from Leftfield,Normal,7:10 p.m. Local,Citi Field,on grass,1,2016
5,201604100,boxscore,NYM,PHI,L,2,5,,2-3,2, 1.5,Hellickson,Harvey,Gomez,2:57,D,"37,233",--,,True,Jerry Meals,Ron Kulpa,Paul Nauert,Chris Conroy,45° F,7mph from Left to Right,Sunny,1:11 p.m. Local,Citi Field,on grass,2,2016
6,201604110,boxscore,NYM,MIA,L,3,10,,2-4,3, 2.5,Narveson,Matz,,3:45,N,"24,318",---,,True,Jordan Baker,Tim Timmons,Mike Everitt,Paul Emmel,57° F,15mph out to Leftfield,Normal,7:11 p.m. Local,Citi Field,on grass,3,2016
7,201604120,boxscore,NYM,MIA,L,1,2,,2-5,4, 3.5,Phelps,Henderson,Ramos,3:17,N,"28,923",----,,True,Tim Timmons,Mike Everitt,Paul Emmel,Jordan Baker,56° F,13mph in from Leftfield,Cloudy,7:10 p.m. Local,Citi Field,on grass,4,2016
8,201604130,boxscore,NYM,MIA,W,2,1,,3-5,4, 3.5,Blevins,McGowan,Familia,2:53,D,"22,113",+,,True,Mike Everitt,Paul Emmel,Jordan Baker,Tim Timmons,52° F,10mph in from Rightfield,Sunny,1:12 p.m. Local,Citi Field,on grass,5,2016
18,201604250,boxscore,NYM,CIN,W,5,3,,11-7,2, 3.0,Verrett,Ramirez,Familia,3:11,N,"30,250",++++,,True,Sam Holbrook,Carlos Torres,Gerry Davis,Cory Blaser,64° F,8mph from Right to Left,Cloudy,7:10 p.m. Local,Citi Field,on grass,6,2016
19,201604260,boxscore,NYM,CIN,W,4,3,,12-7,2, 2.0,Verrett,Cingrani,Familia,2:58,N,"26,978",+++++,,True,Carlos Torres,Gerry Davis,Cory Blaser,Sam Holbrook,52° F,12mph in from Rightfield,Normal,7:10 p.m. Local,Citi Field,on grass,7,2016
20,201604270,boxscore,NYM,CIN,W,5,2,,13-7,2, 1.0,Harvey,Moscot,Reed,2:54,N,"31,481",++++++,,True,Gerry Davis,Cory Blaser,Sam Holbrook,Carlos Torres,56° F,16mph out to Leftfield,Sunny,7:10 p.m. Local,Citi Field,on grass,8,2016
21,201604290,boxscore,NYM,SFG,W,13,1,,14-7,2, 0.5,Matz,Peavy,,3:17,N,"39,764",+++++++,,True,Gabe Morales,Paul Nauert,Ron Kulpa,Chris Conroy,52° F,11mph in from Centerfield,Normal,7:09 p.m. Local,Citi Field,on grass,9,2016
